iso_o,iso_d,contig,comlang_off,comlang_ethno,colony,comcol,curcol,col45,smctry,dist,distcap,distw,distwces
AFG,COL,0,0,0,0,0,0,0,0,14288.69,14288.69,14072.28,14065.93
AFG,COM,0,0,0,0,0,0,0,0,5824.411,5824.411,5802.082,5796.583
AFG,CPV,0,0,0,0,0,0,0,0,9324.58,9324.58,9225.148,9221.142
AFG,CRI,0,0,0,0,0,0,0,0,14334.57,14334.57,14260.46,14258.97
AFG,CUB,0,0,0,0,0,0,0,0,12952.4,12952.4,12859.24,12857.48
AFG,CXR,0,0,0,0,0,0,0,0,6312.074,6312.074,.,.
AFG,CYM,0,0,0,0,0,0,0,0,13283.3,13283.3,13208.93,13207.38
AFG,CYP,0,0,0,0,0,0,0,0,3257.972,3257.972,3172.299,3159.984
AFG,CZE,0,0,0,0,0,0,0,0,4708.024,4708.024,4543.171,4534.28
AFG,DEU,0,0,0,0,0,0,0,0,5226.514,4783.57,4945.52,4934.421
AFG,DJI,0,0,0,0,0,0,0,0,3668.116,3668.116,3621.295,3610.346
AFG,DMA,0,0,0,0,0,0,0,0,12416.77,12416.77,12318.91,12316.78
AFG,DNK,0,0,0,0,0,0,0,0,4857.692,4857.692,4854.474,4848.241
AFG,DOM,0,0,0,0,0,0,0,0,12709.28,12709.28,12623.33,12621.42
AFG,DZA,0,0,0,0,0,0,0,0,5866.736,5866.736,5776.018,5759.415
AFG,ECU,0,0,0,0,0,0,0,0,14950.6,14950.6,15033.63,15030.78
AFG,EGY,0,0,0,0,0,0,0,0,3584.319,3584.319,3509.174,3496.898
AFG,ERI,0,0,0,0,0,0,0,0,3706.288,3706.288,3625.781,3613.636
AFG,ESH,0,0,0,0,0,0,0,0,7696.608,7696.608,7659.554,7651.803
AFG,ESP,0,0,0,0,0,0,0,0,6290.493,6290.493,6147.663,6123.391
AFG,EST,0,0,0,0,0,0,0,0,4238.918,4238.918,4112.194,4105.796
AFG,ETH,0,0,0,0,0,0,0,0,4196.206,4196.206,4114.436,4098.691
AFG,FIN,0,0,0,0,0,0,0,0,4254.794,4254.794,4243.341,4236.522
AFG,FJI,0,0,0,0,0,0,0,0,12880.35,12880.35,12941.15,12938.15
AFG,FLK,0,0,0,0,0,0,0,0,15447.96,15447.96,15386.37,15382.7
AFG,FRA,0,0,0,0,0,0,0,0,5590.381,5590.381,5500.665,5489.888
AFG,FRO,0,0,0,0,0,0,0,0,5959.883,5959.883,5888.947,5885.45
AFG,FSM,0,0,0,0,0,0,0,0,9494.704,9494.704,9075.824,9032.83
AFG,GAB,0,0,0,0,0,0,0,0,7263.688,7263.688,7167.723,7160.384
AFG,GBR,0,0,0,0,0,0,0,0,5718.078,5718.078,5694.557,5689.184
AFG,GEO,0,0,0,0,0,0,0,0,2270.991,2270.991,2272.456,2252.767
AFG,GHA,0,0,0,0,0,0,0,0,7786.48,7786.48,7685.409,7678.898
AFG,GIB,0,0,0,0,0,0,0,0,6593.598,6593.598,6499.797,6495.016
AFG,GIN,0,0,0,0,0,0,0,0,8955.442,8955.442,8573.144,8565.666
AFG,GLP,0,0,0,0,0,0,0,0,12384.11,12384.11,12261.62,12259.49
AFG,GMB,0,0,0,0,0,0,0,0,8798.221,8798.221,8679.354,8674.604
AFG,GNB,0,0,0,0,0,0,0,0,8805.014,8805.014,8695.24,8690.772
AFG,GNQ,0,0,0,0,0,0,0,0,7088.998,7088.998,7024.81,7018.456
AFG,GRC,0,0,0,0,0,0,0,0,4058.47,4058.47,3981.455,3972.516
